BatchStart
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|
|NGC 1068|02 42.7|-00 01|  8.8  |            |                  |  6.9       |Gx         |
|NGC 2064|05 46.3|+00 00|       |            |                  | 12.0       |Nb         |
|IC 1327 |20 35.7|+00 01| 15.0  |p           |                  |            |Gx         |
|NGC 2068|05 46.7|+00 03|  8.0  |            |                  |  8.0       |Nb         |
|IC 70   |01 01.1|+00 03|       |            |                  |            |U          |
|NGC 3229|10 23.4|+00 04|       |            |                  |            |DS         |
|NGC 3123|10 07.0|+00 04|       |            |                  |            |-          |
|NGC 5310|13 49.8|+00 04|       |            |                  |            |SS         |
|NGC 7684|23 30.5|+00 04| 15.0  |p           |                  |            |Gx         |
|NGC 5404|14 01.1|+00 05|       |            |                  |            |DS         |
|IC 1681 |01 21.4|+00 05| 15.0  |p           |                  |            |Gx         |
|NGC 2067|05 46.5|+00 06|       |            |                  |  8.0       |Nb         |
|NGC 4437|12 32.8|+00 07|       |            |                  |            |U          |
|NGC 4517|12 32.8|+00 07| 10.5  |            |                  | 10.2       |Gx         |
|IC 1837 |02 43.5|+00 07|       |            |                  |            |U          |
|IC 745  |11 54.3|+00 08| 14.0  |p           |                  |  0.7       |Gx         |
|NGC 4582|12 38.2|+00 11|       |            |                  |            |SS         |
|NGC 7614|23 20.0|+00 13|       |            |                  |            |-          |
|IC 395  |04 49.6|+00 15|       |            |                  |            |U          |
|NGC 7603|23 19.0|+00 15| 14.0  |p           |                  |  1.7       |Gx         |
|NGC 5658|14 32.4|+00 16| 14.0  |p           |                  |            |Gx         |
|IC 329  |03 32.1|+00 16| 15.0  |p           |                  |            |Gx         |
|IC 5303 |23 17.9|+00 16|       |            |                  |            |DS         |
|NGC 7589|23 18.4|+00 16| 15.0  |p           |                  |            |Gx         |
|IC 331  |03 32.4|+00 17| 15.0  |p           |                  |            |Gx         |
|IC 891  |13 30.0|+00 18| 15.0  |p           |                  |  0.3       |Gx         |
|NGC 2071|05 47.2|+00 18|       |            |                  |  4.0       |Nb         |
|NGC 6964|20 47.4|+00 18| 12.7  |            |                  |  1.9       |Gx         |
|NGC 1072|02 43.5|+00 18| 14.0  |p           |                  |  1.7       |Gx         |
|NGC 7716|23 36.5|+00 18| 12.2  |            |                  |  2.3       |Gx         |
|IC 5057 |20 47.2|+00 19|       |            |                  |            |SS         |
|NGC 6962|20 47.3|+00 19| 12.0  |            |                  |  3.0       |Gx         |
|NGC 5104|13 21.4|+00 20| 14.0  |p           |                  |            |Gx         |
|NGC 2967|09 42.1|+00 20| 11.6  |            |                  |  3.0       |Gx         |
|IC 5061 |20 47.6|+00 20|       |            |                  |            |TS         |
|IC 330  |03 32.2|+00 21| 15.0  |p           |                  |  1.0       |Gx         |
|IC 5159 |22 02.7|+00 21|       |            |                  |            |SS         |
|NGC 6966|20 47.4|+00 22|       |            |                  |            |DS         |
|NGC 6961|20 47.2|+00 23| 15.0  |p           |                  |            |Gx         |
|NGC 7783|23 54.2|+00 23| 14.0  |p           |                  |  1.9       |Gx         |
|NGC 2112|05 53.9|+00 24|  9.0  |p           |                  | 11.0       |OC         |
|NGC 7613|23 19.9|+00 24|       |            |                  |            |Gx         |
|NGC 6967|20 47.6|+00 25| 14.0  |p           |                  |            |Gx         |
|NGC 6859|20 03.9|+00 26|       |            |                  |            |TS         |
|NGC 1055|02 41.8|+00 26| 10.6  |            |                  |  7.6       |Gx         |
|NGC 6959|20 47.1|+00 27| 14.0  |p           |                  |            |Gx         |
|IC 1697 |01 25.1|+00 27| 15.0  |p           |                  |            |Gx         |
|NGC 5869|15 09.9|+00 28| 13.0  |p           |                  |            |U          |
|NGC 2301|06 51.8|+00 28|  6.0  |            |                  | 12.0       |OC         |
|NGC 1141|02 55.2|+00 28|       |            |                  |            |U          |
|NGC 1142|02 55.2|+00 28|       |            |                  |            |U          |
|NGC 7739|23 43.6|+00 28|       |            |                  |            |-          |
|NGC 6963|20 47.3|+00 29| 14.1  |            |                  |  0.7       |Gx         |
|IC 5058 |20 47.4|+00 29|       |            |                  |            |SS         |
|NGC 6965|20 47.4|+00 30|       |            |                  |            |U          |
|IC 5155 |22 02.1|+00 30|       |            |                  |            |SS         |
|NGC 7215|22 08.6|+00 30| 15.0  |p           |                  |            |Gx         |
|NGC 5865|15 09.9|+00 31| 15.0  |p           |                  |            |Gx         |
|NGC 5868|15 09.9|+00 31|       |            |                  |            |U          |
|NGC 5871|15 10.1|+00 31|       |            |                  |            |SS         |
|NGC 768 |01 58.7|+00 31| 14.0  |p           |                  |            |Gx         |
|NGC 7738|23 44.1|+00 31| 14.0  |p           |                  |  2.2       |Gx         |
|IC 904  |13 38.6|+00 32| 15.0  |p           |                  |  1.1       |Gx         |
|NGC 6010|15 54.4|+00 32| 13.0  |p           |                  |            |Gx         |
|NGC 7787|23 56.2|+00 33| 15.0  |p           |                  |            |Gx         |
|NGC 4385|12 25.7|+00 34| 12.4  |            |                  |  2.3       |Gx         |
|IC 2077 |04 32.1|+00 34|       |            |                  |            |U          |
|NGC 1593|04 31.9|+00 34|       |            |                  |            |Gx         |
|IC 1761 |01 58.9|+00 34| 15.0  |p           |                  |            |Gx         |
|NGC 7189|22 03.3|+00 34| 14.0  |p           |                  |            |Gx         |
|NGC 1608|04 31.9|+00 35| 15.0  |p           |                  |            |Gx         |
|IC 1607 |00 58.9|+00 36| 14.0  |p           |                  |  1.1       |Gx         |
|NGC 4493|12 31.2|+00 37| 15.0  |p           |                  |            |Gx         |
|NGC 3023|09 49.9|+00 37| 13.0  |p           |                  |  3.1       |Gx         |
|NGC 3018|09 49.7|+00 37| 14.0  |p           |                  |            |Gx         |
|NGC 1642|04 42.9|+00 37| 14.0  |p           |                  |  2.0       |Gx         |
|IC 590  |10 05.9|+00 38| 14.0  |p           |                  |  1.1       |Gx         |
|NGC 1588|04 30.8|+00 39| 14.0  |p           |                  |  1.8       |Gx         |
|NGC 1587|04 30.7|+00 40| 13.0  |p           |                  |  2.0       |Gx         |
|IC 1317 |20 23.3|+00 40| 13.4  |            |                  |  0.9       |Gx         |
|NGC 622 |01 36.0|+00 40| 14.0  |p           |                  |  2.0       |Gx         |
|IC 518  |08 37.1|+00 41|       |            |                  |            |OC         |
|NGC 3042|09 53.4|+00 42| 14.0  |p           |                  |            |Gx         |
|NGC 2618|08 36.2|+00 42| 14.0  |p           |                  |            |Gx         |
|NGC 6070|16 10.0|+00 43| 11.7  |            |                  |  3.6       |Gx         |
|NGC 2555|08 18.0|+00 44| 13.0  |p           |                  |            |Gx         |
|IC 145  |01 38.7|+00 44| 15.0  |p           |                  |  0.6       |Gx         |
|IC 5287 |23 09.4|+00 45| 15.0  |p           |                  |  1.1       |Gx         |
|IC 87   |01 14.3|+00 46| 15.0  |p           |                  |            |Gx         |
|IC 671  |11 07.6|+00 47| 15.0  |p           |                  |  1.6       |Gx         |
|NGC 3720|11 32.4|+00 48| 13.3  |            |                  |  1.1       |Gx         |
|IC 947  |13 52.7|+00 48| 14.0  |p           |                  |  1.7       |Gx         |
|NGC 6100|16 17.0|+00 48| 14.0  |p           |                  |            |Gx         |
|IC 88   |01 14.5|+00 48|       |            |                  |            |U          |
|NGC 3719|11 32.2|+00 49| 14.0  |p           |                  |  2.0       |Gx         |
|IC 172  |01 54.9|+00 49|       |            |                  |  0.1       |Nb         |
|NGC 78  |00 20.4|+00 49| 14.0  |p           |                  |            |Gx         |
|NGC 5257|13 39.9|+00 50| 14.0  |p           |                  |  1.9       |Gx         |
|NGC 5258|13 40.0|+00 50| 14.0  |p           |                  |  1.8       |Gx         |
|NGC 1541|04 17.0|+00 50| 15.0  |p           |                  |            |Gx         |
|NGC 1589|04 30.8|+00 51| 14.0  |p           |                  |  3.1       |Gx         |
|NGC 223 |00 42.7|+00 51| 14.0  |p           |                  |            |Gx         |
|IC 44   |00 42.2|+00 51| 14.0  |p           |                  |  0.5       |Gx         |
|NGC 201 |00 39.7|+00 51| 15.0  |p           |                  |  2.2       |Gx         |
|NGC 192 |00 39.3|+00 51| 14.0  |p           |                  |  2.3       |Gx         |
|NGC 4996|13 09.6|+00 53| 14.0  |p           |                  |            |Gx         |
|IC 992  |14 18.3|+00 53| 15.0  |p           |                  |  1.6       |Gx         |
|NGC 197 |00 39.4|+00 53| 15.0  |p           |                  |            |Gx         |
|NGC 219 |00 42.3|+00 54| 15.0  |p           |                  |            |Gx         |
|NGC 7493|23 08.6|+00 54|       |            |                  |            |SS         |
|NGC 196 |00 39.3|+00 54| 14.0  |p           |                  |            |Gx         |
|NGC 391 |01 07.5|+00 56| 14.0  |p           |                  |            |Gx         |
|NGC 7488|23 07.9|+00 56| 15.0  |p           |                  |            |Gx         |
|NGC 493 |01 22.2|+00 57| 12.5  |            |                  |  3.8       |Gx         |
|NGC 428 |01 12.9|+00 59| 11.4  |            |                  |  4.1       |Gx         |
|IC 1011 |14 28.1|+01 00| 15.0  |p           |                  |  0.4       |Gx         |
|NGC 2198|06 13.9|+01 00|       |            |                  |            |-          |
|IC 1010 |14 27.3|+01 02| 15.0  |p           |                  |  2.3       |Gx         |
|IC 494  |08 06.4|+01 02| 14.0  |p           |                  |  1.4       |Gx         |
|NGC 6760|19 11.2|+01 02|  9.1  |            |                  |  6.6       |Gb         |
|NGC 2324|07 04.2|+01 03|  8.4  |            |                  |  8.0       |OC         |
|NGC 867 |02 15.9|+01 03|       |            |                  |            |U          |
|IC 1373 |21 20.6|+01 05| 15.0  |p           |                  |  0.3       |Gx         |
|NGC 1032|02 39.4|+01 06| 13.0  |p           |                  |  3.6       |Gx         |
|NGC 7396|22 52.5|+01 06| 14.0  |p           |                  |            |Gx         |
|NGC 3015|09 49.4|+01 08| 14.0  |p           |                  |            |Gx         |
|NGC 5887|15 14.8|+01 08| 15.0  |p           |                  |            |Gx         |
|NGC 2189|06 12.3|+01 08|       |            |                  |            |-          |
|IC 237  |02 33.5|+01 08| 15.0  |p           |                  |  0.5       |Gx         |
|NGC 7397|22 52.9|+01 08| 15.0  |p           |                  |            |Gx         |
|IC 225  |02 26.5|+01 09| 15.0  |p           |                  |  1.8       |Gx         |
|IC 231  |02 30.0|+01 10| 15.0  |p           |                  |  1.1       |Gx         |
|NGC 7402|22 53.0|+01 10| 14.0  |p           |                  |            |Gx         |
|NGC 7401|22 53.1|+01 10|       |            |                  |            |Gx         |
